State,geo_longitude,geo_latitude,McDonalds Count
AK,-152.2683,61.385,31
AL,-86.8073,32.799,253
AR,-92.3809,34.9513,174
AZ,-111.3877,33.7712,286
CA,-119.7462,36.17,1340
CO,-105.3272,39.0646,216
CT,-72.7622,41.5834,142
DC,-77.0262,38.8964,33
DE,-75.5148,39.3498,37
FL,-81.717,27.8333,870
GA,-83.6487,32.9866,465
HI,-157.5311,21.1098,75
IA,-93.214,42.0046,150
ID,-114.5103,44.2394,63
IL,-89.0022,40.3363,677
IN,-86.2604,39.8647,352
KS,-96.8005,38.5111,148
KY,-84.6514,37.669,254
LA,-91.8749,31.1801,248
MA,-71.5314,42.2373,246
MD,-76.7902,39.0724,303
ME,-69.3977,44.6074,62
MI,-84.5603,43.3504,552
MN,-93.9196,45.7326,222
MO,-92.302,38.4623,318
MS,-89.6812,32.7673,148
MT,-110.3261,46.9048,47
NC,-79.8431,35.6411,478
ND,-99.793,47.5362,24
NE,-98.2883,41.1289,83
NH,-71.5653,43.4108,59
NJ,-74.5089,40.314,260
NM,-106.2371,34.8375,100
NV,-117.1219,38.4199,152
NY,-74.9384,42.1497,673
OH,-82.7755,40.3736,633
OK,-96.9247,35.5376,210
OR,-122.1269,44.5672,168
PA,-122.1269,40.5773,527
RI,-71.5101,41.6772,33
SC,-80.9066,33.8191,227
SD,-99.4632,44.2853,30
TN,-86.7489,35.7449,333
TX,-97.6475,31.106,1201
UT,-111.8535,40.1135,116
VA,-78.2057,37.768,420
VT,-72.7093,44.0407,28
WA,-121.5708,47.3917,273
WI,-89.6385,44.2563,301
WV,-80.9696,38.468,102
WY,-107.2085,42.7475,27
Grand Total,,,14170
